Function: build_index, Time: 315.50583945796825
Function: fit_transform, Time: 53.51778520800872
Function: search, Time: 0.006669833033811301
Function: search, Time: 9.016575916961301
Function: search, Time: 9.079133082996123
Function: search, Time: 17.92115233297227
Function: search, Time: 7.326082958956249
Function: search_with_sentence_embedding, Time: 1.4518671249970794
Function: search_with_sentence_embedding_prf, Time: 192.11176749999868
